,content,individual,groups,religion/creed,race/ethnicity,politics
0,chào báo vũ hoàng lân . chào danh hài vũ trụ trần tiger : - ),2,1,0,0,0
1,anh thi đi đăng ký rủ nhé .,1,0,0,0,0
2,mỹ lồn,0,0,0,1,0
3,"thôn thôn lầm , thôn lầm dân ghét , bật thôn lù",0,0,0,0,0
4,phạm văn lộc phụ hồ trời nắng chóng mặt hả thần tượng,1,0,0,0,0
5,có vẻ nổi tiếng,1,1,0,0,0
6,ʚöɞphong trần ʚöɞ đoàn chính park huyn phong tấn đồng quê ta gọi,1,0,0,0,0
7,qua mặt fan minh hiếu vô chọc trần đoàn chi . chó hùa,3,2,0,0,0
8,"đường sắt cát linh - hà đông vậy , dân đóng thuế nuôi cẩu quan tàu + !!!",3,3,0,0,3
9,"ơ khoan khoan , tùng 1 con , ngón giữa : ( (",1,1,0,0,0
10,dương bé chết trời 17 lây loạn xạ,1,0,0,0,0
11,"khổ ghê , bảo dần rồi . vậy tấc nhiên mặt tấc nhiên xem .",1,1,0,0,0
12,chi vang that lua.chi giúp em . khoa cai mieng ho xuan huong viet nam no bao nhieu tiền ma suy nhuc ta 1 cach kinh tom,3,0,0,0,0
13,"chưa bao giáo dục hôm nay , học sinh nữ lột quần áo đánh đường , học sinh nam đứng cổ vũ , thầy giáo giao cấu học trò thai , đánh học sinh nhập viện cứu , học sinh đường du côn , đánh phim kiếm hiệp , đấy gọi hạnh phúc hả ông ?",0,3,0,0,0
14,chi goc hông đi,1,0,0,0,0
15,cười chết,1,1,0,0,0
16,tối đi đường khùng khùng,0,0,0,0,0
17,bọn óc giúp giúp kia....thay ta men mo công an dit xau ..,3,3,0,0,0
18,nguyễn minh thu chếtluondi,3,0,0,0,0
19,xúc đỏ mặt,1,1,0,0,0
20,tài tấn trần bắn chết đứa trốn li,3,3,0,0,0
21,hơn,1,1,0,0,0
22,nếu bảo chủ tịch mặt l ...?????,3,0,0,0,0
23,"báo viết tếu mẹ ! 2 thằng kia phong bì 1tr usd mấy thằng duyệt thầu ! mấy thằng đĩ xứ lừa "" bôi trơn "" thông !",2,0,0,0,0
24,1 thp tiền minh tù ! oke ! nếu thp tiền giám định chai đi !,1,1,0,0,0
25,"đào mạnh an nghi ly điểu trị nhé , xét nghiệm cơ , chết khám nghiệm kết luận vi rút không , đường đeo khẩu trang bọn anh đấm mặt trị",1,0,0,0,0
26,hard cặc thầy . cứ đánh man phi te rồi . chắc chắn vcsa,2,0,0,0,0
27,em subcribe rọi béo kênh yên tâm rọi béo,1,1,0,0,0
28,ngon ...,1,1,0,0,0
29,hợp lý,1,0,0,0,0
30,tạ thu hằng 🤣,1,0,0,0,0
31,oker baybi baybi 🤣🤣🤣🤣🤣,1,1,0,0,0
32,hợp lý,1,1,0,0,0
33,"sông cửu long thì bọn cẩu nó ngăn nước đầu nguồn , giờ miền trung thì xả chất độc chả có cái gì bọn cẩu này làm",3,3,0,0,0
34,vỉ 2vien thử,0,0,0,0,0
35,thầy 3 + sena + petlan bố già kalista thua mấy,1,1,0,0,0
36,xin quỳ,1,1,0,0,0
37,bọn chó chỉ biết,0,3,0,0,0
38,"địt mẹ bọn "" animal "" "" tand bt "" tiền xử vậy .",3,3,0,0,0
39,cmt dạo fan cứng : ) ),1,1,0,0,0
40,nếu nổi tiếng thầy,1,1,0,0,0
41,"không lẻ bất lao động trình độ kém ?? ngu vl . ngành luyện kim : mổi công ty nhân viên thực tập ( chủ yếu trung quốc ) , chuyên môn yếu chuyên cần , bất cẩn . các thầu trung quốc hầu",0,1,0,1,0
42,cá mè lứa,1,1,0,0,0
43,học thức tiếc văn hoá kém ... ý thức thua chó,3,3,0,0,0
44,mình hiểu nè you sic sanh,3,3,0,0,0
