,content,individual,groups,religion/creed,race/ethnicity,politics
125,"đizz mẹ giết dân lũ chó quân cướp đéo quân yêu , bây rước giặc tàu đương tàu giết dân ta , formosa giết dân ta bàn chứng cụ thể",0,0,0,0,3
260,không chủ nghĩa tàn phá đất chủ nghĩa này . các trẻ kiềm chế hân hoan bóng đá thương gia đình dài .,0,0,0,0,3
502,đảng bò,0,0,0,0,3
708,trạm giá . không đi đi vòng tiền xăng . bố quyền tất nhiên bố quyền,0,0,0,0,3
819,"đất khổ , khổ ơn lãnh đạo đám ngợm cộng sảng đảng boác .",0,0,0,0,3
827,bớ người ta tư bản hùa bưng bô tung hô cuộc sống : ) ),0,0,0,0,2
904,"hay , quyền việt nam giải trí . nhưng ngặc nỗi , độc ác giải trí tí cả .",0,0,0,0,3
1205,"cuộc sống hô hào , chí khủng khiếp tiến thiên đường , tiến mãi đến . rất ủng hộ tinh thần quý vị , quý vị 60% thành công , 40 trăm thể hiện . đôi hô to khoẻ .",0,0,0,0,3
1252,"fanpage thành phản động ak , dkm toàn post nhảm",0,0,0,0,3
1412,"tôi hiểu , saigon , thành phố "" nguỵ "" đói khổ , bọn mỹ "" nguỵ "" đàn áp , bóc lột , chế độ cuộc sống ta giải phóng , cứu đói , nộp ngân sách !( bằng 55 tỉnh thành khác ) .",0,0,0,0,3
1459,"kết lãnh đạo đả : tham nhũng tràn lan đại hoạ ( đường bớt vật liệu chất kém , lái xe mua , chạy tốc độ chó vàng bảo nộp mãi lộ , đăng kiểm kiểm tra tiền ..... ) đmcs",0,0,0,0,3
1508,cơm sườn súc vật tiếp tục sinh suy súc vật .,0,0,0,0,3
1513,ở + sản .. bạn đấu tranh phản động ... khi + sảng sai ... nó rút kinh nghiệm .. đậu xanh rau muống ..,0,0,0,0,3
1801,tôi tuyên thệ .. nhiệm kỳ cố gắng vơ vét đục khoét tàn phá đất thằng,0,0,0,0,2
1825,không bẩn thỉu cộng sảng mà .,0,0,0,0,3
1865,trên thực tế cái xã hội này là đến bọn trẻ nó còn biết về thực tại xã hội chính trị còn mấy ấy ấy lại cần biết,0,0,0,0,3
2031,bóc lột bọn thực dân !,0,0,0,0,3
2080,"môn khoái "" búa liêm ' "" mà !!!",0,0,0,0,2
2244,3k 38 người . con tất cả . tỉ lệ 99% không đồng 1% đồng ý . ha ha đâu bao dám trưng cầu dân ý .,0,0,0,0,2
2274,"day la y kien tam huyet tán rat nhieu tri thuc : phai dan chu hoa thi moi bao ve duoc dắt nuoc , nhung hinh nhu dang sống van chua tinh , ho vua dien tap chong “ khung bo “ ma ke khung bo lai cam co vang !",0,0,0,0,3
2327,cái đảng thối nát,0,0,0,0,3
2350,àh .... tụi thân cộng sói đói ... rình rập,0,0,0,0,3
2413,bộ phép phủ . của bộ trị bố đéo dám quyết !,0,0,0,0,2
2604,"phải chính phủ tặng thủ tướng lương hai chục triệu tiền tặng , thực tế tiền túi ra !",0,0,0,0,3
2649,"dân bớt xoắn thực đấy . ngầm đố biết . nát bét rồi . đừng mơ nữa , 3 xác định nghề liên rồi , tao g",0,0,0,0,3
2996,nước màu la màu la . nhờ ơn cộng sảng vầy,0,0,0,0,3
3047,hãy ánh đảng quên đi bất công sống .,0,0,0,0,1
3135,cái tập đoàn dacosan rước giặc,0,0,0,0,3
3147,diện trần thương đất trở đi cướp ngủ sủa,0,0,0,0,3
3153,"công nghệ sống thượng thừa rồi , ấn nút trắng biến thành xanh biến hoá cơ . tư bản không ?",0,0,0,0,3
3506,"nhnn , thằng son đổi usd tiền việt kìa . dân đổi 100usd đè phạt 90tr , thằng cán đổi mấy triệu usd xe chở tiền lùi tận cửa phòng ... pháp luật phân biệt đối xử vờ cờ lờ",0,0,0,0,3
3519,"thế thôn xóm "" ăn lai 1.0 rùi "" , nhân thôn , phường , chi hội , hội , quận , tỉnh thành , trung ương .... ôi thối fat tởm thật .",0,0,0,0,2
3549,kiểu sống đánh úp hồi chiến tranh,0,0,0,0,2
3706,vấn đề chế độ thôi .,0,0,0,0,1
3728,"tin vui , đang công san việt nam bi nhiêm virus corona chêt gân hêt rôi hahaha",0,0,0,0,3
3752,đéo tham nhũng,0,0,0,0,2
3826,da bao dung sống !!!,0,0,0,0,3
4227,"chính cái bản chất tiền là hết kể cả rẻ lương tâm , đạo đức ... thể loại văn hóa rừng rú có gì là ngạc nhiên đặt chân đến xứ sở lừa .",0,0,0,0,3
4281,trời đất chiếm tiền thề ! cáo có ! quan trọng tiền nhân dân đếch tiền ! giỏi phá tiền !,0,0,0,0,1
4287,"du ma lai tang thue , dit me no , da an ban roi , con cai cac de dong nua",0,0,0,0,3
4585,"đảng cộng sản việt nam mỹ mua , trung quốc sai sai mọi , đập tét mỏ ráng cắn dạ ..."" 16 vàng 4 tốt """,0,0,0,0,3
4587,tp.hcm thực hiện hứa trị : ta đánh ta,0,0,0,0,1
4625,đụ mẹ cộng sản nợ nhiều .,0,0,0,0,3
4813,đm thiên tai đổ cộng sảng = ) ) ),0,0,0,0,1
4832,"đi đóng thuế giải quyêt ngân sách kiểu , xây tượng góp giàu đẹp đất ha ha",0,0,0,0,2
4951,"hèn cộng sản , tội đồ báo nhãn tiền .",0,0,0,0,3
5040,mấy thằng chó sống tức lắm dân phá cung cứt tụi ăn .,0,0,0,0,3
5092,quyền lồn,0,0,0,0,3
5227,chất bọn cơm sườn công khai lộ liễu giấu diếm thời gian trước .,0,0,0,0,3
5302,con cháu bec đảng cộng sảng quang vinh muôn năm ...🤣🤣🤣,0,0,0,0,3
5697,1đảng dân cán bộ ..... vcc,0,0,0,0,3
6610,thật chán chế độ quản lý dân sinh,0,0,0,0,1
6801,em đập thằng phủ,0,0,0,0,2
6873,lê luân đừng sánh lương . mà sánh quyền lực ích . làm công ty tư nhân lao động quyền lực . còn cháu quan chức quyền lực lắm lực địa phương vả quốc gia . vì hưởng lương công sức lao động hưởng ích toàn dân địa phương quốc gia gom tiền hơn ????,0,0,0,0,2
