,content,individual,groups,religion/creed,race/ethnicity,politics
2,mỹ lồn,0,0,0,1,0
179,đhs mặc định nội đéo nhỉ ? qatar sân bây qatar hà nội transit bangkok : ) ) ) . sân bây trộm : ) ) ),0,0,0,2,0
343,đéo đất,0,0,0,3,0
446,"đi bắt cóc quốc gia ta mặt mũi rồi . giờ tiền thuê máy bây quịt . nhục mặt quá , vị việt nam cắm đầu : ) )",0,0,0,3,0
524,99% dân tộc này là vậy đó . đáng được làm nô lệ tàu .,0,0,0,3,0
533,"bố bênh tầu cộng chống nhân dân hk đây . chả kêu gọi công an thiệp cảnh sát trung cộng xịt vòi rồng , bắn đạn hơi cay dân hk . kêu gọi công an thiệp trung cộng dày xéo dân chủ hk .... tóm ủng hộ bạo quyền",0,0,0,3,0
608,"lạc hậu , nghèo đói , trộm cươp ... thời đại rực mẹ rỡ",0,0,0,1,0
615,việt nam lồn 🤦🤦,0,0,0,2,0
635,cố việt nam !,0,0,0,1,0
689,"nếu cụ đừng bọn tàn dư 3 sọc cụ việt nam vô tư , cụ cảm tình thương đồng bào nước .",0,0,0,1,0
703,có quốc thể mà nhục .,0,0,0,3,0
724,rank việt nam yasuo tt6 tt5 đéo việt nam,0,0,0,2,0
852,hàn quốc thuợng đẳng lắm đừng no hàn quốc,0,0,0,3,0
924,thua trug + dân hải ngoại sống dân đoàn kết việt bág bổ phỉ bág ...nhau 40,0,0,0,3,0
945,cờ đỏ vàng nhá,0,0,0,1,0
962,em chia buồn hàn quốc đất thượng đẳng : ( ( ( địt mẹ tao lắm : ) ) ) ) ),0,0,0,3,0
972,chẳng bảo việt nam ung thư,0,0,0,2,0
1058,"cứ chửi bọn tư bổn , cái , quan chức xứ thiên đường trốn xứ giẫy chết sao .",0,0,0,3,0
1084,ơ đéo mình cờ tàu ự kia,0,0,0,2,0
1091,"chơi thằng được , trừ thằng tàu cộng ra , ok",0,0,0,3,0
1111,"ăn thua gì , mừng đón khỉ tiếng hoa chết triệu mạng rồi .",0,0,0,3,0
1137,sang vũ hán đợ ngột ngạt,0,0,0,2,0
1172,dân indo đéo nội dung,0,0,0,2,0
1346,ai lũ chống tổ quốc nước ? bọn mày mơ ...,0,0,0,2,0
1393,trong giới đi đi xuống ...,0,0,0,2,0
1404,trung quốc quyền vô nhân dân văn minh thức tốt .. đâu việt nam 1 thành dân thức nghiêm trọng tiếp tục hậu khôn lường,0,0,0,3,0
1432,"ơ , vnexpress tương 1 à . ô nhiễm nhiễm nào , đồ phản động , đất yên bình.môi trường sạch đẹp",0,0,0,1,0
1449,"virus bọn tầu sảng xuất tác dụng phụ kích ảo giác phải , thằng đi du lịch",0,0,0,3,0
1488,chạy nhật,0,0,0,1,0
1491,"rồi . giới ta mỏ bạc , mỏ vàng mỏ kim cương . việt nam mỏ lồn",0,0,0,3,0
1528,"chúng tôi : đại đa dân đen việt , cảm ơn thịnh tình nhiệt huyết quý ngài môi trường sinh sống . chúng tiếc xảy ra , thay đổi , mặc 90tr dân việt thông minh ,",0,0,0,3,0
1538,à thương việt nam,0,0,0,1,0
1590,thằng việt ngu dua thằng trung cẩu,0,0,0,3,0
1597,"có đéo đâu . đang đấu thầu kêu thăng 1tr usd tao trúng . vậy xong , thằng khựa báo chuẩn tiền mặt .",0,0,0,2,0
1603,hàn gọi lá việt nam lá chà bồn .,0,0,0,2,0
1623,"gel rửa khô mini đi , 70 k / c . hàng chuẩn usa",0,0,0,1,0
1725,"văn hoá xứ bắc hà khác , thô tục",0,0,0,3,0
1765,bán rẻ tổ quốc,0,0,0,2,0
1772,best cà khịa tụi chinazi hehe,0,0,0,3,0
1779,"yên tâm việt nam thành phế vật . nước fuck you , cứt ... việt nam địt mẹ mày địt mẹ mày đậu mẹ mày ... phế chắn 🤣🤣🤣",0,0,0,2,0
